date,code,BOOK_TO_PRICE_RATIO,TOTAL_PROFIT_GROWTH_RATE,OPERATING_REVENUE_GROWTH_RATE,ROC20,VOL20,VOL60,ROE_TTM,NET_PROFIT_GROWTH_RATE,ROA_TTM,NATURAL_LOG_OF_MARKET_CAP,ROC60,INDUSTRY_CODE,market_cap
2020-01-23,000001.XSHE,-0.9555999031270939,0.047609433838005207,0.11037066342392039,-0.17574983032756097,0.0030836830450519195,-0.0124312877553794,-0.4711521014724935,0.0207202734201637,-0.10813616670561473,1.8075664749082163,-0.2017856767217033,801780,3015.6797
2020-01-23,000002.XSHE,-0.5396109818584942,-0.45778678825899,-0.9496358697053991,-0.23132012413709507,0.6806123541832394,0.7029898086588047,0.029481399105876244,-0.2655696664576124,-0.1423665025745436,1.0935260144803114,0.6202481413014531,801180,3275.3611
2020-01-23,000063.XSHE,-1.16027199730103,-2.218560955097221,-0.457473612628299,2.3681936392658853,1.7651971632200618,1.7327931017689568,0.5992635399511836,-2.352106475080793,-0.3967068562994175,0.8043884413406406,1.4660973677551434,801770,1655.9233
2020-01-23,000069.XSHE,1.4669245752356468,-0.26723096803551855,-0.9506729048266997,-0.0607947851864665,-0.058728342149630984,-0.1874535377301874,-0.14257877130245467,0.09388455102698234,0.10985607076731227,-0.05212491390839546,0.002706960591864376,801180,580.7375
2020-01-23,000100.XSHE,0.8086135585713123,0.6663830251221586,-1.907327725796853,0.6312525055525594,0.8749469124684852,0.5454091015553583,-0.2895234203122963,1.1561535626244208,-1.2312506417177196,-0.1522633254956779,1.3251463435629085,801080,684.539
2020-01-23,000157.XSHE,0.8307004599452331,1.2656889468104726,1.1712278529977724,-0.4053829780743762,-0.5705543127164047,-0.304259102713378,-0.12769780256715937,1.265178416789947,-0.47888044446412653,-0.18864694808879257,0.012515821636327171,801890,496.0163
2020-01-23,000166.XSHE,0.3040495746055838,0.026363142182647816,2.0127537988621467,-0.383120864091506,-1.427249026496238,-1.3714512961396068,-0.13255791186365398,-0.1297251567963249,-0.0030221208164340502,0.6078638760933783,-0.5058151064549697,801790,1206.9253
2020-01-23,000333.XSHE,0.2775758879336671,-0.11856845632426191,-0.18386378343223553,-0.8111547363337701,-0.18543700313488,-0.25911427598023073,-0.21769937342982654,-0.1285453480416321,-0.7367549264261768,0.8222725639896955,-0.7849105022859328,801110,3844.1343
2020-01-23,000338.XSHE,-1.0082384645156586,1.2153547239099214,0.2421659354270971,-2.3560190755456882,1.4927828206488298,1.640192575772224,2.0658469552535093,1.1113830816165167,0.5295538454351343,0.27402636880495457,0.17050436236686073,801880,1073.4531
2020-01-23,000413.XSHE,4.32344090287327,0.10861759160711668,-1.4265324983917764,-3.0078719956370925,0.4662174718669723,0.15263868007029377,-0.7985895765227826,0.29819664412133223,-1.0479612049444598,-1.0564398782946136,-4.603288507155346,801080,174.7726
2020-01-23,000415.XSHE,2.8422274378555894,-0.8337617107205095,-1.0265841519666756,-0.902312287131816,-1.6864082222278294,-1.4118007772770704,0.08720015074393396,-0.6451182166681131,0.1413879865222171,-0.5378196554714249,-0.8160715168314071,801790,213.9844
2020-01-23,000423.XSHE,0.7210987999829062,-1.155317536081167,-2.006980149989628,-0.7373824819511235,-0.6813104462317252,-0.7150190606436105,-0.6645010685117995,-1.1057931943316393,-0.17143403493686754,-0.543500200483467,-0.22064692197404207,801150,223.2176
2020-01-23,000425.XSHE,0.4978092608395709,1.28661071984549,0.08527971557784447,-0.13965584151091656,0.8316727410673916,0.7520427428484605,-0.09318732558652575,1.275349990637571,-0.09701546656008322,-0.3203562057835315,0.463868124775513,801890,406.5674
2020-01-23,000538.XSHE,0.3766834617668718,0.5627808311211,-0.46860329401409395,-1.0082390611617067,-0.5629300309811944,-0.1581890583568343,-0.9856895844586764,0.5399377897996461,-0.4709440725666334,0.5165109828577786,-0.08718987569441553,801150,1106.2313
2020-01-23,000568.XSHE,-0.03923450226946626,0.37135381440066184,0.3757043283287846,-0.04540669454944341,0.17577593441705278,-0.05137238797704362,-0.42081093557981997,0.35171247253636284,0.09037760164850513,0.5060745718379999,-0.5845798258213687,801120,1210.6179
2020-01-23,000596.XSHE,-0.23935276913973233,0.42621858597874396,0.2674999935078592,2.0547257382964474,-0.04151899531264131,-0.24516256006293397,-0.1110622708616804,0.475375586986918,0.15925321192530822,0.16299357244875423,2.3083916775753206,801120,721.1552
2020-01-23,000625.XSHE,0.9394778800570532,-1.4614247803686629,-1.187800888353965,-0.3121384769743453,0.08269401624995429,0.41767918196086257,-2.4384008900428884,-1.3647030210134006,-2.0970995743687837,-0.2666374238533447,2.2559704602836894,801880,474.5017
2020-01-23,000627.XSHE,-0.03904990553603076,-0.37378715974449583,1.9488902934964014,-0.8236410036033246,-1.8856552702003984,-1.7389558811060268,0.21268403759926766,-0.8956949373122309,0.0927090691556379,-0.2709956381298464,-1.1074760374616879,801790,320.1528
2020-01-23,000629.XSHE,-1.4089683835249995,-0.11482325561248774,-0.5577348659423438,-0.5849739874671775,-0.7219936316005962,-0.7195794128006693,2.586571309037435,0.6861725222173155,2.4724692226726397,-0.3900020457153699,-0.6224673971189849,801020,225.0514
2020-01-23,000630.XSHE,0.9709677662774323,0.47638315726375163,-0.17949267690239673,-0.31418143590717945,-1.6829103085902357,-1.6133059590746697,-0.0801878428465673,0.9659015006965938,-0.23023801268528954,-0.42411884163339936,-0.7957917247808531,801050,232.6364
